subscription_id,customer_id,plan,amount,billing_cycle,status,failed_attempts,next_billing_date,created_at
6373c83c-eae4-4ca3-b13e-8750ea7c0833,209b7a3c-1464-57d9-b963-02234bc67f27,growth,1067.19,monthly,active,0,2026-03-15T12:57:39+00:00,2026-02-13T12:57:39+00:00
8d541912-4fa2-401c-886f-1481b737c14a,2f74fb46-0857-578e-a0be-6f7a0f3bcaf0,growth,2818.45,monthly,active,0,2025-04-12T05:26:33+00:00,2025-03-29T05:26:33+00:00
24c713c2-2971-4d8b-b397-9a78e796669a,a2daece6-f247-592e-8745-820ed18d9f9e,growth,4397.30,monthly,active,0,2026-06-29T19:27:34+00:00,2026-05-30T19:27:34+00:00
c90085c2-91b2-45bf-b745-9d94fdd6cce3,8466b57b-f32f-5385-b181-9e70ac59a2be,growth,115608.28,quarterly,active,0,2025-10-05T20:35:44+00:00,2025-09-28T20:35:44+00:00
718f1acd-9231-453a-a460-e1879f131058,a69d2e6d-31da-5ff7-a60e-cb5b366cc673,growth,382.45,monthly,active,0,2026-05-15T04:30:09+00:00,2026-04-15T04:30:09+00:00
f0d54516-352e-4787-80a8-bbe505b6c5a4,00e89f69-02a9-5e2d-9ddf-b4cdf037f149,scale,1892.04,monthly,active,0,2024-08-14T20:50:27+00:00,2024-07-31T20:50:27+00:00
9de09857-be81-4f82-9f94-1beef48792e7,ca0f54eb-0cdf-5114-bc38-aef0f978270e,growth,1284.79,monthly,active,0,2024-12-13T09:52:25+00:00,2024-12-06T09:52:25+00:00
ee38c408-d7b3-4eed-875f-1c94d1e90f83,491eac35-3d4d-5ed8-96d4-d45863e9782e,growth,1233.33,quarterly,active,0,2026-06-16T03:37:28+00:00,2026-06-09T03:37:28+00:00
86a8779f-ef29-4db5-853f-a39f38ccb8da,76f63eb4-4e45-5a5b-9ca6-65a55c251413,scale,1180.15,monthly,active,0,2026-01-20T23:08:16+00:00,2025-12-21T23:08:16+00:00
9079cd22-e201-4ae7-990f-fcf2820c7743,1d6d35d3-0605-529c-b40a-902c300298d3,starter,6062.86,quarterly,active,0,2025-07-26T01:58:04+00:00,2025-07-12T01:58:04+00:00
390d00b9-4fed-4676-9546-77c644f36ae5,15d04f13-a619-5c47-b81c-bfc82660df0c,enterprise,4308.15,monthly,active,0,2026-08-28T14:46:32+00:00,2026-07-29T14:46:32+00:00
5f003dab-32f6-4be9-a129-a9bc84820597,307bc923-e368-5ee3-b202-777839801037,starter,2351.02,monthly,active,0,2025-10-05T03:52:21+00:00,2025-09-05T03:52:21+00:00
ca152741-b70e-4c4d-bd02-a5a86cf7772e,e442beb0-1be6-55a4-bdf9-3196036467a6,enterprise,4086.23,monthly,active,0,2026-01-04T08:40:02+00:00,2025-12-21T08:40:02+00:00
658ab856-2386-4f21-a6c2-9b0e47c19c57,d5e38f1b-06c0-5484-b252-e3a1276503f7,scale,4814.28,quarterly,paused,0,2026-05-13T09:28:01+00:00,2026-04-29T09:28:01+00:00
eb78b582-5c8d-4a99-8504-04e140a4e609,02c7ae69-f65b-5340-907e-e2d062463721,starter,2010.08,quarterly,active,0,2026-04-04T05:16:20+00:00,2026-03-21T05:16:20+00:00
fe454c00-3530-4deb-93f1-ab1c77d2361f,74fab6c1-4352-510d-a042-cbc09d4de701,growth,5148.22,monthly,active,0,2024-03-11T05:48:59+00:00,2024-02-26T05:48:59+00:00
5d4be97d-46e6-4278-b147-43244af57051,54247e53-4fd1-5371-8664-28146fb3a6e6,starter,1645.92,monthly,active,1,2026-08-01T22:43:42+00:00,2026-07-18T22:43:42+00:00
