invoice_id,customer_id,amount,issue_date,due_date,status,days_overdue
211c542e-fdfe-43d0-b093-798633b329dc,7070253c-07b3-55cb-82d1-8b4770bcffdd,28422.54,2024-11-16T06:17:44+00:00,2024-11-23T06:17:44+00:00,paid,0
45360b8a-a863-4c69-b980-d3f4d235c11e,0a8cb727-1a4a-58f2-a249-3d3fce652bc5,3266.26,2023-10-11T07:31:58+00:00,2023-11-10T07:31:58+00:00,paid,0
90577d54-9d60-4fdd-b444-442031805e6c,deb8fb1b-2379-5be0-92f4-766d31eec4a2,1211.20,2023-11-08T20:48:07+00:00,2023-11-15T20:48:07+00:00,paid,0
7817278a-a85d-44f3-a9bb-8132d4af5c03,36e4d34c-ccca-50b4-be12-979cc876c958,16261.70,2024-09-07T00:57:45+00:00,2024-09-22T00:57:45+00:00,overdue,708
909bdcab-ee92-402a-9b39-4eb50b7b50cc,0d82ca4c-fa6d-5c3c-ae1b-9d5981c42e75,3600.39,2023-09-26T01:09:28+00:00,2023-10-26T01:09:28+00:00,paid,0
636cd50f-2293-4282-b157-a998be2cd95f,9b69a796-b034-5453-951a-962edd0f2397,1292.72,2023-07-10T10:15:30+00:00,2023-07-25T10:15:30+00:00,paid,0
250d46fb-78fa-43dc-94ba-ffdc0374ab5e,8b4d728a-fc69-55f1-9fd1-3ace114eb036,7090.94,2024-06-25T11:26:43+00:00,2024-07-02T11:26:43+00:00,paid,0
c43389eb-2cc1-4a83-a934-47a971e2e9c3,bbc6764d-90ae-56eb-9b52-2086854ba1e9,5548.11,2024-11-04T15:26:13+00:00,2024-12-04T15:26:13+00:00,paid,0
1fe75bc9-506f-4f4d-bf7c-8ccc1514566c,21f8cff7-e87d-5954-8559-92fe3f854d6b,8876.49,2024-09-18T20:12:16+00:00,2024-10-03T20:12:16+00:00,overdue,697
36fdd6ce-f324-42fa-ab42-f10e2c3648d0,b5b0d191-fca5-5201-bd72-8de3d11d3043,1535.68,2023-10-16T18:48:25+00:00,2023-10-31T18:48:25+00:00,paid,0
c9944818-cf25-4da5-a061-71877f9cee57,90165338-fcbe-577a-83fd-01c1d1e237d3,11747.34,2023-09-28T15:43:11+00:00,2023-10-05T15:43:11+00:00,void,0
91668051-d1ff-466d-a4b0-6b3892fcb81d,8d7b29cd-9e22-5cd8-af32-aab01a0108e2,8893.77,2023-05-02T18:04:59+00:00,2023-05-09T18:04:59+00:00,paid,0
3f0d02b9-d575-4214-b159-f54bbe2850ac,bd849191-d43c-58db-a59d-1b65d26234c6,5617.79,2024-02-26T15:46:36+00:00,2024-03-04T15:46:36+00:00,paid,0
337931f2-50e7-4051-a86f-05ee07e19793,41112edf-f60f-5adf-b7f9-b5b6a43c8f7c,14232.44,2023-08-09T02:33:06+00:00,2023-08-24T02:33:06+00:00,paid,0
708cc0ed-e2d8-481b-b962-4d6834a9a0c1,441c128d-a00b-5386-b0f4-10a51cbdcb6f,3515.37,2024-12-18T09:35:15+00:00,2024-12-25T09:35:15+00:00,paid,0
7911a160-77d3-4441-8802-87ca7e647e31,866ca301-e9ef-5e29-9ec9-55cee2bc5698,6398.55,2023-08-15T09:19:46+00:00,2023-08-30T09:19:46+00:00,paid,0
27c06b0c-b96c-4b9a-87aa-ac4cc38f3bf8,fea91b6d-fa34-57cf-89c2-ed807de3103d,4875.08,2024-11-24T08:50:14+00:00,2024-12-09T08:50:14+00:00,paid,0
6b3284ff-6a43-48f9-b117-ca34f8a7dc1f,87a7d029-1fee-5ad6-b1dc-ee392aaa9417,11241.24,2024-07-14T17:55:13+00:00,2024-08-13T17:55:13+00:00,paid,0
01b6644f-ec6a-41d4-b52f-5be18a1f63f4,e8461d32-96af-5cf2-a572-607a8eeb6666,3978.88,2024-01-13T23:33:18+00:00,2024-01-28T23:33:18+00:00,paid,0
9fa67c78-bba0-4092-a11f-fea90979e302,a3b3420a-750d-5122-9924-7b28e4845cb0,2252.04,2024-11-08T14:12:50+00:00,2024-11-15T14:12:50+00:00,paid,0
8c3506ad-03b9-4702-9258-792ac53f2907,d6938c91-4f55-567a-b6e6-364ff43c72db,6349.15,2024-01-19T19:45:42+00:00,2024-02-18T19:45:42+00:00,paid,0
8dcbbc98-c02c-4e51-afab-238f7066e895,799ebeea-4998-53cf-ae72-4afe7011d84f,1797.03,2024-11-14T10:38:29+00:00,2024-11-21T10:38:29+00:00,paid,0
7875a033-ec9b-4cb0-94d6-e95e41122f6e,29d8d435-3fda-5850-9f72-3632f3c860e8,5612.65,2024-11-04T20:38:28+00:00,2024-11-19T20:38:28+00:00,paid,0
05429378-f1f3-436a-930c-8463f787bd48,3c3a525f-fb62-5848-905d-fb3a7e6b1e07,11683.49,2024-11-22T23:08:32+00:00,2024-12-22T23:08:32+00:00,paid,0
46a208fe-df0e-4b43-802b-2c95853b85ff,5bdf2f20-74af-5c54-b68f-89de5fc06e91,123249.52,2024-10-02T12:07:17+00:00,2024-10-17T12:07:17+00:00,paid,0
58e72033-d451-4df3-a03b-90a1791528d2,1e35ab02-36b9-55c7-8bbb-0024b323d99b,3651.77,2024-12-19T17:12:16+00:00,2025-01-03T17:12:16+00:00,paid,0
45feffc3-58d9-4059-bb0d-559d8628264c,934ab4a8-c733-5cc8-b0d1-78d1253c5e76,11099.71,2024-08-09T14:30:31+00:00,2024-09-08T14:30:31+00:00,paid,0
92ca08fa-f219-4b65-8c21-1b6045f9ecaa,a708c89e-2cbc-508a-95e6-1c9aa1157826,1962.99,2024-09-15T18:26:46+00:00,2024-09-30T18:26:46+00:00,overdue,700
