transaction_id,customer_id,amount,payment_method,status,failure_reason,timestamp,order_type,retry_count
5c48472c-4a63-43c1-9805-3ca1c42fc802,f9d3f1b1-fcc6-5ad9-b054-560b70f623cd,6125.96,upi,success,,2023-06-23T12:39:06+00:00,subscription,3
905a70e6-03ac-41f7-8a14-5e309eb0c0e7,c428f7e3-1206-530f-b61a-5380191e9c2b,1450.09,credit_card,success,,2024-10-02T13:07:16+00:00,one_time,0
20e9cffd-2f92-48a4-83c7-63d06a2fb1fc,33dfa127-29f1-5825-9c7b-e1a7f0d2b330,860.11,debit_card,success,,2024-06-22T20:44:23+00:00,subscription,1
44f8434f-db0e-4a9d-a0fd-a707184f6b8e,5caa76a0-2dbc-5bf8-92ba-d398a29497d8,2380.19,debit_card,success,,2024-11-29T20:50:50+00:00,invoice,2
354703c5-4a7d-415e-b7d2-9e7d42d39351,2acb77f0-4503-58aa-bf72-d7d2b96b9407,2330.37,wallet,failed,insufficient_funds,2023-09-18T11:23:42+00:00,invoice,0
85d01d90-2a69-4abc-9452-601d662f83db,342431ca-2d75-505e-8c66-b1040fd34095,3335.64,debit_card,success,,2024-09-13T17:14:31+00:00,one_time,1
2efc9be4-b371-4db8-a2b2-aea77856c960,90e60db4-db71-59b9-9cb9-3422fccd9223,1983.75,wallet,pending,expired_card,2024-06-20T22:07:03+00:00,one_time,3
d86b2be9-facd-41fa-864f-bf1b40c5f17f,f64a349f-2f56-554d-9f1a-7569cb9ce1fc,984.82,credit_card,success,,2023-10-25T00:27:42+00:00,subscription,0
6cd5a1c2-2135-4c5f-a57c-ae5792cb95ae,051668eb-d402-5409-98f5-9cf434f781fe,2795.65,netbanking,success,,2024-10-01T18:55:21+00:00,one_time,2
6845329a-db50-43ad-9c7d-587c25ff55c4,b204f9c3-d44f-5451-80d2-e538ad474558,3365.38,upi,success,,2024-12-28T21:26:31+00:00,invoice,2
21c99857-9b1d-4f6a-ba79-631eafc946ec,2f3e1315-f5bc-5bef-a7df-32b2717e08ef,1024.39,credit_card,failed,mandate_cancelled,2024-05-10T17:30:44+00:00,subscription,0
506a21ef-7bda-4620-9f0e-e5520cd40331,520e4f19-37f3-50d4-b5fd-50412245b9fc,14273.28,netbanking,success,,2024-11-15T15:49:06+00:00,invoice,1
d7d264cc-0c0b-49d4-9b07-ac3b46bf3ec9,430b3eb4-b454-5252-8ebb-9d5bb47a4f66,7932.43,netbanking,success,,2024-09-19T07:15:34+00:00,subscription,3
acfced05-3940-47f1-a7d8-315a4de116ee,c39c4ea5-227e-5a11-8afb-df0774b3df79,2118.82,upi,success,,2023-08-25T18:40:02+00:00,one_time,1
18ab45f1-058b-4f1c-9f3c-e3aa2ba9e12e,045544f3-52a5-561c-92b9-1e5ec239709b,1630.28,upi,success,,2024-07-09T06:02:20+00:00,one_time,3
e1ecd5ec-2cd1-4e9d-a9cb-dcf78ae98300,d2d6b3de-06f9-54bd-aa79-befd2f9def5c,660.99,emi,failed,network_error,2024-04-02T07:16:52+00:00,subscription,0
bbeeae43-abe0-497b-ab78-5d1a679c46ba,841f8ea5-0323-55cc-ae4d-6019c77e65f3,1960.43,wallet,success,,2023-10-21T19:32:18+00:00,one_time,1
3566bbc1-ed57-4659-94bd-dfa957a40d0d,08f9065b-05f7-501c-8619-2dda038ce25a,4583.16,credit_card,success,,2024-12-28T22:41:35+00:00,one_time,1
ea911461-c07d-42c2-a359-675ddeeddc15,99efbbc6-853c-57bc-ab48-915b2be53c14,1687.11,wallet,success,,2023-10-13T16:49:26+00:00,invoice,2
03c5a0e9-1c7c-48e9-8625-e7b8f20858d2,9f1d37d7-65d3-5010-a1fa-bd5ed5818f18,3134.05,emi,success,,2024-01-03T01:47:20+00:00,subscription,0
